Namespace(backbone='resnet50', batch_size=32, config='DAAN/DAAN.yaml', data_dir='/home/houwx/tl/datasets/office31', device=device(type='cuda'), early_stop=0, epoch_based_training=False, lr=0.01, lr_decay=0.75, lr_gamma=0.0003, lr_scheduler=True, momentum=0.9, n_epoch=500, n_iter_per_epoch=20, num_workers=3, seed=1, src_domain='dslr', tgt_domain='amazon', transfer_loss='daan', transfer_loss_weight=1.0, use_bottleneck=True, weight_decay=0.0005)
Epoch: [ 1/500], cls_loss: 3.1772, transfer_loss: 0.1302, total_Loss: 3.3074, test_loss 3.069487, test_acc: 21.7252
Epoch: [ 2/500], cls_loss: 1.9286, transfer_loss: 0.1216, total_Loss: 2.0501, test_loss 2.150352, test_acc: 39.5456
Epoch: [ 3/500], cls_loss: 0.6173, transfer_loss: 0.1135, total_Loss: 0.7307, test_loss 1.630571, test_acc: 58.2180
Epoch: [ 4/500], cls_loss: 0.2064, transfer_loss: 0.1093, total_Loss: 0.3157, test_loss 1.442383, test_acc: 62.4068
Epoch: [ 5/500], cls_loss: 0.0919, transfer_loss: 0.1057, total_Loss: 0.1976, test_loss 1.358804, test_acc: 64.8562
Epoch: [ 6/500], cls_loss: 0.0481, transfer_loss: 0.1023, total_Loss: 0.1504, test_loss 1.366853, test_acc: 64.3237
Epoch: [ 7/500], cls_loss: 0.0374, transfer_loss: 0.0990, total_Loss: 0.1363, test_loss 1.344735, test_acc: 64.8207
Epoch: [ 8/500], cls_loss: 0.0214, transfer_loss: 0.0964, total_Loss: 0.1177, test_loss 1.341924, test_acc: 65.2112
Epoch: [ 9/500], cls_loss: 0.0199, transfer_loss: 0.0933, total_Loss: 0.1132, test_loss 1.338957, test_acc: 65.4952
Epoch: [10/500], cls_loss: 0.0188, transfer_loss: 0.0910, total_Loss: 0.1097, test_loss 1.359229, test_acc: 65.4242
Epoch: [11/500], cls_loss: 0.0139, transfer_loss: 0.0883, total_Loss: 0.1022, test_loss 1.344851, test_acc: 66.2762
Epoch: [12/500], cls_loss: 0.0138, transfer_loss: 0.0859, total_Loss: 0.0997, test_loss 1.354601, test_acc: 66.2052
Epoch: [13/500], cls_loss: 0.0126, transfer_loss: 0.0840, total_Loss: 0.0967, test_loss 1.368219, test_acc: 65.0692
Epoch: [14/500], cls_loss: 0.0098, transfer_loss: 0.0817, total_Loss: 0.0915, test_loss 1.411937, test_acc: 64.7852
Epoch: [15/500], cls_loss: 0.0112, transfer_loss: 0.0799, total_Loss: 0.0910, test_loss 1.373315, test_acc: 65.4242
Epoch: [16/500], cls_loss: 0.0098, transfer_loss: 0.0777, total_Loss: 0.0874, test_loss 1.363218, test_acc: 65.4597
Epoch: [17/500], cls_loss: 0.0094, transfer_loss: 0.0762, total_Loss: 0.0855, test_loss 1.379933, test_acc: 64.7852
Epoch: [18/500], cls_loss: 0.0091, transfer_loss: 0.0749, total_Loss: 0.0839, test_loss 1.376422, test_acc: 64.6077
Epoch: [19/500], cls_loss: 0.0071, transfer_loss: 0.0735, total_Loss: 0.0806, test_loss 1.388922, test_acc: 64.7852
Epoch: [20/500], cls_loss: 0.0080, transfer_loss: 0.0716, total_Loss: 0.0796, test_loss 1.380338, test_acc: 64.9982
Epoch: [21/500], cls_loss: 0.0059, transfer_loss: 0.0706, total_Loss: 0.0765, test_loss 1.354562, test_acc: 65.2467
Epoch: [22/500], cls_loss: 0.0076, transfer_loss: 0.0690, total_Loss: 0.0766, test_loss 1.379905, test_acc: 65.2112
Epoch: [23/500], cls_loss: 0.0054, transfer_loss: 0.0683, total_Loss: 0.0737, test_loss 1.363006, test_acc: 64.8917
Epoch: [24/500], cls_loss: 0.0069, transfer_loss: 0.0668, total_Loss: 0.0737, test_loss 1.381933, test_acc: 64.1818
Epoch: [25/500], cls_loss: 0.0073, transfer_loss: 0.0655, total_Loss: 0.0728, test_loss 1.403381, test_acc: 63.4008
Epoch: [26/500], cls_loss: 0.0066, transfer_loss: 0.0641, total_Loss: 0.0707, test_loss 1.391978, test_acc: 64.0753
Epoch: [27/500], cls_loss: 0.0077, transfer_loss: 0.0635, total_Loss: 0.0712, test_loss 1.404055, test_acc: 63.7203
Epoch: [28/500], cls_loss: 0.0063, transfer_loss: 0.0620, total_Loss: 0.0683, test_loss 1.386637, test_acc: 64.2173
Epoch: [29/500], cls_loss: 0.0058, transfer_loss: 0.0614, total_Loss: 0.0671, test_loss 1.376065, test_acc: 64.3592
